Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,SoT,SoT%,Sh/90,SoT/90,G/Sh,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,Ast,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA90,PassLiveGCA,PassDeadGCA,TOGCA,ShGCA,FldGCA,DefGCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDrib,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,23.0,2000.0,12.0,11.0,950.0,19.0,0.0,0.09,0.09,0.0,0.09,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.09,0.0,0.0,0.0,0.02,0.0,0.0,31.320754716981135,41.60377358490566,75.3,516.3207547169811,0.09433962264150944,0.07547169811320756,0.01886792452830189,0.5660377358490566,1.6981132075471699,1.0377358490566038,0.18867924528301888,2.9245283018867925,32.16981132075472,9.339622641509434,0.8490566037735849,0.18867924528301888,0.18867924528301888,0.9433962264150944,8.49056603773585,0.0,0.0,0.0,0.0,31.320754716981135,0.09433962264150944,1.6037735849056605,1.61,1.1320754716981132,0.18867924528301888,0.0,0.0,0.2830188679245283,0.0,0.09,0.09433962264150944,0.0,0.0,0.0,0.0,0.0,2.2641509433962264,1.4150943396226416,1.6037735849056605,0.5660377358490566,0.09433962264150944,1.509433962264151,2.547169811320755,59.3,1.0377358490566038,0.8490566037735849,0.4716981132075472,0.37735849056603776,0.4716981132075472,2.7358490566037736,1.9811320754716981,0.0,51.132075471698116,2.8301886792452833,18.867924528301888,21.9811320754717,11.037735849056604,0.8490566037735849,51.132075471698116,2.452830188679245,0.9433962264150944,38.5,0.7547169811320755,30.8,26.41509433962264,163.49056603773585,82.83018867924528,1.509433962264151,1.0377358490566038,0.5660377358490566,0.8490566037735849,0.5660377358490566,25.566037735849058,1.7924528301886793
2,Brenden Aaronson,USA,MF,Union Berlin,de Bundesliga,23.0,2000.0,8.0,4.0,288.0,17.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,0.04,0.13,0.0,0.0,0.62,0.0,0.0,0.1,0.07,-0.1,-0.1,21.25,28.4375,74.7,287.8125,0.0,0.125,-0.09374999999999999,1.25,2.1875,0.0,0.0,2.8125,26.5625,1.25,0.0,0.3125,0.0,2.5,0.0,0.9375,0.625,0.3125,0.0,21.25,0.625,1.5625,2.5,2.1875,0.3125,0.0,0.0,0.0,0.0,0.31,0.3125,0.0,0.0,0.0,0.0,0.0,2.1875,1.5625,0.625,1.25,0.3125,1.5625,2.1875,71.4,0.625,2.5,0.0,2.5,0.0,2.1875,0.3125,0.0,41.5625,0.625,5.3125,19.0625,18.4375,2.8125,41.5625,4.0625,0.3125,7.7,3.4375,84.6,23.4375,121.5625,51.875,0.625,0.9375,0.0,1.875,0.625,25.0,5.3125
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20.0,2003.0,6.0,0.0,56.0,4.0,0.0,1.61,1.61,0.0,1.61,0.0,0.13,0.13,0.0,0.13,0.0,,0.0,0.0,,0.0,,0.0,0.0,43.333333333333336,55.0,78.8,656.6666666666667,1.6666666666666667,0.16666666666666669,1.5,1.6666666666666667,6.666666666666667,3.3333333333333335,0.0,8.333333333333334,51.66666666666667,3.3333333333333335,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,43.333333333333336,0.0,0.0,1.61,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.61,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,76.66666666666667,0.0,5.0,45.0,28.333333333333336,5.0,76.66666666666667,10.0,1.6666666666666667,16.7,6.666666666666667,66.7,43.333333333333336,243.33333333333334,75.0,3.3333333333333335,0.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,46.66666666666667,6.666666666666667
4,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36.0,1987.0,14.0,14.0,1260.0,3.0,0.14,0.0,0.14,0.14,0.14,0.11,0.02,0.13,0.11,0.13,5.0,41.7,0.86,0.36,0.17,1.6,0.13,0.4,0.4,50.92857142857143,61.42857142857143,82.9,964.1428571428571,0.0,0.028571428571428574,-0.014285714285714287,0.35714285714285715,4.642857142857143,0.14285714285714285,0.0,4.857142857142857,55.42857142857143,5.642857142857143,2.0,0.14285714285714285,0.5714285714285714,0.07142857142857142,1.1428571428571428,0.0,0.0,0.0,0.0,50.92857142857143,0.35714285714285715,0.7142857142857143,0.64,0.5,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0714285714285716,1.2857142857142858,1.0714285714285714,0.9285714285714286,0.07142857142857142,0.7857142857142857,1.5714285714285714,50.0,0.7857142857142857,1.7142857142857142,1.0714285714285714,0.6428571428571429,1.1428571428571428,3.2142857142857144,3.0714285714285716,0.0,72.85714285714286,9.428571428571429,31.285714285714285,38.07142857142857,4.214285714285714,1.5714285714285714,72.85714285714286,0.8571428571428571,0.5,58.3,0.35714285714285715,41.7,50.714285714285715,297.64285714285717,159.71428571428572,1.4285714285714286,0.6428571428571429,0.0,0.9285714285714286,0.14285714285714285,46.714285714285715,0.21428571428571427
5,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,23.0,2000.0,14.0,11.0,999.0,14.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,0.0,0.0,0.45,0.0,0.0,0.8,0.17,-0.8,-0.8,49.0990990990991,54.86486486486486,89.5,758.3783783783784,0.0,0.0900900900900901,-0.04504504504504505,0.5405405405405406,5.765765765765766,0.45045045045045046,0.1801801801801802,5.225225225225225,53.693693693693696,1.0810810810810811,1.0810810810810811,0.0,0.0900900900900901,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,49.0990990990991,0.0900900900900901,1.1711711711711712,1.8,1.8018018018018018,0.0,0.0,0.0,0.0,0.0,0.18,0.1801801801801802,0.0,0.0,0.0,0.0,0.0,1.2612612612612613,0.9009009009009009,0.45045045045045046,0.6306306306306306,0.1801801801801802,0.3603603603603604,0.8108108108108109,44.4,0.45045045045045046,0.6306306306306306,0.0,0.6306306306306306,0.5405405405405406,1.8018018018018018,0.8108108108108109,0.0,60.810810810810814,0.9009009009009009,7.657657657657658,38.73873873873874,15.045045045045045,0.6306306306306306,60.810810810810814,0.990990990990991,0.3603603603603604,36.4,0.5405405405405406,54.5,50.18018018018018,260.72072072072075,100.09009009009009,0.45045045045045046,2.3423423423423424,0.0,0.8108108108108109,0.8108108108108109,47.83783783783784,1.2612612612612613
6,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,30.0,1993.0,13.0,13.0,1170.0,14.0,0.08,0.08,0.15,0.08,0.15,0.04,0.05,0.09,0.04,0.09,2.0,28.6,0.54,0.15,0.14,0.5,0.07,0.5,0.5,52.76923076923077,60.53846153846154,87.2,934.6153846153846,0.07692307692307693,0.05384615384615384,0.03076923076923077,0.9230769230769231,6.230769230769231,0.6923076923076923,0.0,4.6923076923076925,56.46153846153846,3.923076923076923,3.230769230769231,0.07692307692307693,0.46153846153846156,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,52.76923076923077,0.15384615384615385,0.6923076923076923,2.15,1.5384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.38461538461538464,0.31,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,3.1538461538461537,1.5384615384615385,1.3846153846153846,1.4615384615384615,0.3076923076923077,1.3076923076923077,3.6153846153846154,36.2,2.3076923076923075,1.3076923076923077,0.3076923076923077,1.0,2.3846153846153846,5.538461538461538,1.6923076923076923,0.07692307692307693,71.46153846153847,3.230769230769231,20.615384615384617,43.07692307692308,8.76923076923077,0.15384615384615385,71.46153846153847,2.1538461538461537,1.4615384615384615,67.9,0.6153846153846154,28.6,55.23076923076923,261.0769230769231,115.61538461538461,0.9230769230769231,1.0769230769230769,0.07692307692307693,0.8461538461538461,1.0,49.53846153846154,1.0769230769230769
7,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,20.0,2003.0,7.0,4.0,351.0,34.0,0.26,0.0,0.26,0.26,0.26,0.2,0.35,0.55,0.2,0.55,6.0,50.0,3.08,1.54,0.08,0.8,0.07,0.2,0.2,15.384615384615385,19.48717948717949,78.9,214.8717948717949,0.0,0.12820512820512822,-0.358974358974359,2.307692307692308,0.25641025641025644,0.7692307692307693,0.25641025641025644,1.0256410256410258,17.94871794871795,1.5384615384615385,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,15.384615384615385,0.0,1.0256410256410258,4.1,3.58974358974359,0.0,0.5128205128205129,0.0,0.0,0.0,0.26,0.0,0.0,0.25641025641025644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25641025641025644,0.0,0.25641025641025644,0.25641025641025644,0.0,0.25641025641025644,0.0,0.0,0.5128205128205129,0.0,31.53846153846154,0.5128205128205129,0.7692307692307693,14.615384615384615,16.666666666666668,5.897435897435898,31.53846153846154,2.0512820512820515,1.5384615384615385,75.0,0.5128205128205129,25.0,22.05128205128205,114.1025641025641,32.56410256410256,1.2820512820512822,0.7692307692307693,0.5128205128205129,4.871794871794872,1.2820512820512822,23.333333333333332,8.717948717948719
8,Abner,BRA,DF,Betis,es La Liga,23.0,2000.0,9.0,5.0,522.0,29.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,0.0,0.0,0.34,0.0,0.0,0.1,0.03,-0.1,-0.1,40.17241379310345,51.20689655172414,78.5,588.9655172413793,0.0,0.12068965517241378,-0.06896551724137931,0.8620689655172414,1.206896551724138,0.5172413793103449,0.1724137931034483,1.896551724137931,43.44827586206897,7.758620689655173,0.1724137931034483,0.0,0.0,2.241379310344828,7.586206896551724,0.0,0.0,0.0,0.0,40.17241379310345,0.0,1.5517241379310345,1.55,1.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.206896551724138,1.0344827586206897,0.8620689655172414,0.3448275862068966,0.0,1.0344827586206897,2.241379310344828,46.2,1.206896551724138,2.241379310344828,0.5172413793103449,1.7241379310344829,1.0344827586206897,2.241379310344828,3.2758620689655173,0.0,62.93103448275862,5.0,23.10344827586207,24.137931034482758,16.20689655172414,2.586206896551724,62.93103448275862,0.6896551724137931,0.5172413793103449,75.0,0.1724137931034483,25.0,31.551724137931036,116.55172413793103,61.55172413793104,0.8620689655172414,0.6896551724137931,0.1724137931034483,1.206896551724138,0.6896551724137931,34.6551724137931,5.0
9,Zakaria Aboukhlal,MAR,MF,Toulouse,fr Ligue 1,23.0,2000.0,5.0,4.0,376.0,35.0,0.72,0.0,0.72,0.48,0.48,0.52,0.04,0.56,0.33,0.37,5.0,38.5,3.11,1.2,0.15,1.4,0.11,0.8,0.6,16.428571428571427,23.095238095238095,71.1,250.0,0.0,0.047619047619047616,-0.047619047619047616,0.9523809523809523,1.9047619047619047,0.9523809523809523,0.0,2.857142857142857,21.428571428571427,1.6666666666666665,0.0,0.0,0.0,0.47619047619047616,1.4285714285714286,0.0,0.0,0.0,0.0,16.428571428571427,0.0,0.7142857142857143,2.15,1.4285714285714286,0.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0,0.24,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.23809523809523808,0.23809523809523808,0.0,0.0,0.23809523809523808,0.23809523809523808,0.7142857142857143,33.3,0.47619047619047616,0.7142857142857143,0.0,0.7142857142857143,0.23809523809523808,0.47619047619047616,0.23809523809523808,0.0,33.80952380952381,0.23809523809523808,2.142857142857143,14.285714285714285,17.857142857142858,5.0,33.57142857142857,2.857142857142857,0.9523809523809523,33.3,1.9047619047619047,66.7,25.238095238095237,167.14285714285714,77.38095238095238,2.857142857142857,2.142857142857143,0.7142857142857143,2.619047619047619,1.1904761904761905,25.238095238095237,8.333333333333332
10,Abdel Abqar,MAR,DF,Alavés,es La Liga,24.0,1999.0,11.0,11.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1.0,25.0,0.36,0.09,0.0,0.2,0.05,-0.2,-0.2,20.363636363636363,28.0,72.7,456.0,0.0,0.009090909090909092,0.0,0.09090909090909091,1.7272727272727273,0.09090909090909091,0.0,2.090909090909091,26.272727272727273,1.6363636363636365,1.4545454545454546,0.0,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,20.363636363636363,0.09090909090909091,0.2727272727272727,0.64,0.45454545454545453,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.5454545454545454,0.8181818181818182,0.09090909090909091,0.18181818181818182,0.6363636363636364,1.2727272727272727,50.0,0.6363636363636364,1.0909090909090908,0.9090909090909091,0.18181818181818182,0.8181818181818182,1.9090909090909092,4.909090909090909,0.0,38.09090909090909,8.181818181818182,21.181818181818183,15.545454545454545,1.4545454545454546,0.6363636363636364,38.09090909090909,0.18181818181818182,0.18181818181818182,100.0,0.0,0.0,17.181818181818183,84.27272727272727,51.81818181818182,0.18181818181818182,0.36363636363636365,0.0,0.45454545454545453,0.09090909090909091,18.0,0.0
